accession	tier	subtree_annotations	evidence_codes
P12814	1	GO:0030018(IDA:UniProtKB)	IDA
P12821	2		
P12829	1	GO:0031672(IMP:BHF-UCL)	IMP
P12882	1	GO:0031672(IEA:Ensembl);GO:0030017(NAS:ComplexPortal)	IEA;NAS
P12883	1	GO:0030016(ISS:UniProtKB);GO:0030017(ISS:UniProtKB);GO:0030018(IEA:Ensembl)	IEA;ISS
P12955	2		
P12956	2		
P13010	2		
P13073	2		
P13473	2		
P13533	1	GO:0030016(ISS:BHF-UCL);GO:0030017(TAS:HGNC-UCL);GO:0030018(IEA:Ensembl)	IEA;ISS;TAS
P13535	1	GO:0030017(IC:BHF-UCL)	IC
P13591	2		
P13611	2		
P13639	2		
P13667	2		
P13674	2		
P13693	2		
P13716	2		
P13747	2		
P13797	2		
P13798	2		
P13804	2		
P13805	1	GO:0005861(IDA:UniProtKB)	IDA
P13807	2		
P13861	2		
P13929	2		
P13987	2		
P13995	2		
P14209	2		
P14314	2		
P14324	2		
P14406	2		
P14543	2		
P14550	2		
P14618	2		
P14621	2		
P14625	2		
P14649	2		
P14672	2		
P14678	2		
P14735	2		
P14854	2		
P14866	2		
P14868	2		
P14923	1	GO:0030018(IEA:Ensembl)	IEA
P14927	2		
P15090	2		
P15104	2		
P15121	2		
P15151	2		
P15153	2		
P15170	2		
P15172	1	GO:0030016(IEA:Ensembl)	IEA
P15259	2		
P15311	2		
P15374	2		
P15382	1	GO:0030018(ISS:BHF-UCL)	ISS
P15502	2		
P15529	2		
P15531	2		
P15559	2		
P15586	2		
P15735	2		
P15848	2		
P15880	2		
P15924	2		
P15927	2		
P15954	2		
P16070	2		
P16083	2		
P16118	2		
P16152	2		
P16157	1	GO:0031430(IEA:UniProtKB-SubCell);GO:0030018(IEA:Ensembl)	IEA
P16219	2		
P16284	2		
P16298	1	GO:0030018(IEA:Ensembl)	IEA
P16402	2		
P16403	2		
P16435	2		
P16615	2		
P16671	2		
P16930	2		
P16949	2		
P16989	2		
P17050	2		
P17066	2		
P17152	2		
