accession	tier	subtree_annotations	evidence_codes
Q15172	1	GO:0031430(ISS:BHF-UCL);GO:0030018(IDA:BHF-UCL)	IDA;ISS
Q15327	1	GO:0031674(ISS:BHF-UCL)	ISS
Q15413	1	GO:0030018(IBA:GO_Central)	IBA
Q15413	2	GO:0030314(IEA:Ensembl);GO:0033017(ISS:UniProtKB)	IEA;ISS
Q15842	1	GO:0030016(IEA:Ensembl)	IEA
Q16527	1	GO:0030018(IBA:GO_Central)	IBA
Q16637	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q2TBA0	1	GO:0031672(IBA:GO_Central);GO:0031674(IBA:GO_Central)	IBA
Q2TBC4	1	GO:0030018(IBA:GO_Central)	IBA
Q2V2M9	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q53GG5	1	GO:0030018(IBA:GO_Central)	IBA
Q5BKX8	1	GO:0030018(IEA:Ensembl)	IEA
Q5BKY1	1	GO:0030017(IBA:GO_Central)	IBA
Q5JQC9	1	GO:0030018(IEA:Ensembl)	IEA
Q5JVS0	1	GO:0030017(ISS:UniProtKB)	ISS
Q5JVS0	2	GO:0016528(IEA:UniProtKB-SubCell)	IEA
Q5TD97	1	GO:0030018(IBA:GO_Central)	IBA
Q5VST9	1	GO:0031430(ISS:BHF-UCL);GO:0030016(NAS:BHF-UCL);GO:0030018(ISS:BHF-UCL)	ISS;NAS
Q5VTT5	1	GO:0031430(ISS:UniProtKB)	ISS
Q5VU43	1	GO:0030016(ISS:UniProtKB)	ISS
Q5VVH2	2	GO:0033017(IBA:GO_Central)	IBA
Q5VZP5	1	GO:0030017(IEA:UniProtKB-SubCell)	IEA
Q6H8Q1	1	GO:0030016(IEA:Ensembl)	IEA
Q6IBS0	1	GO:0030016(ISS:BHF-UCL)	ISS
Q6P050	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q6P5Q4	1	GO:0031430(IEA:UniProtKB-SubCell);GO:0030016(IDA:UniProtKB);GO:0030017(IDA:UniProtKB);GO:0005865(IBA:GO_Central)	IBA;IDA;IEA
Q6UXF7	2	GO:0016529(TAS:UniProtKB)	TAS
Q711Q0	1	GO:0030018(ISS:UniProtKB)	ISS
Q86SG2	1	GO:0031674(IEA:Ensembl)	IEA
Q86TC9	1	GO:0031674(IDA:BHF-UCL);GO:0030018(IDA:UniProtKB)	IDA
Q86TD4	2	GO:0033018(ISS:UniProtKB);GO:0033017(ISS:UniProtKB)	ISS
Q86VF2	1	GO:0030018(ISS:UniProtKB)	ISS
Q86VF7	1	GO:0030018(IBA:GO_Central)	IBA
Q86VW2	1	GO:0030016(ISS:UniProtKB);GO:0030017(IEA:UniProtKB-SubCell)	IEA;ISS
Q86YM7	1	GO:0043034(IEA:Ensembl);GO:0030018(IEA:Ensembl)	IEA
Q8IUG5	1	GO:0030018(IEA:Ensembl)	IEA
Q8IVL5	2	GO:0016529(IEA:UniProtKB-SubCell)	IEA
Q8IWX7	1	GO:0031672(IEA:UniProtKB-SubCell);GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q8IWX8	2	GO:0033017(ISS:UniProtKB)	ISS
Q8N0Z2	1	GO:0030017(ISS:HGNC-UCL)	ISS
Q8N3K9	1	GO:0031430(IEA:UniProtKB-SubCell)	IEA
Q8N3K9	2	GO:0016529(ISS:UniProtKB)	ISS
Q8N3V7	1	GO:0030018(IBA:GO_Central)	IBA
Q8NBH2	1	GO:0030018(ISS:UniProtKB)	ISS
Q8NC69	1	GO:0031430(IEA:UniProtKB-SubCell)	IEA
Q8NDY3	1	GO:0030017(ISS:UniProtKB)	ISS
Q8NDZ2	1	GO:0030017(IDA:UniProtKB)	IDA
Q8NEW0	2	GO:0016529(ISS:UniProtKB);GO:0033017(ISS:UniProtKB)	ISS
Q8NEZ5	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q8NF91	1	GO:0030017(IDA:MGI)	IDA
Q8NF91	2	GO:0016529(IBA:GO_Central)	IBA
Q8TDC0	1	GO:0030018(IBA:GO_Central)	IBA
Q8WU10	1	GO:0030017(IDA:UniProtKB)	IDA
Q8WX93	1	GO:0030018(IDA:UniProtKB)	IDA
Q8WXH0	1	GO:0030017(IBA:GO_Central);GO:0030018(IDA:UniProtKB)	IBA;IDA
Q8WXH0	2	GO:0016529(IDA:UniProtKB);GO:0033017(IEA:UniProtKB-SubCell)	IDA;IEA
Q8WXH2	2	GO:0030314(IBA:GO_Central);GO:0014701(TAS:BHF-UCL)	IBA;TAS
Q8WZ42	1	GO:0031674(IDA:BHF-UCL);GO:0031430(IDA:BHF-UCL);GO:0005865(IDA:BHF-UCL);GO:1990733(IPI:ComplexPortal);GO:0030018(IDA:BHF-UCL)	IDA;IPI
Q92629	2	GO:0016529(IEA:Ensembl)	IEA
Q92736	1	GO:0031672(IEA:Ensembl);GO:0030018(IDA:BHF-UCL)	IDA;IEA
