gene	outcome	accessions	matched_by	uniprot_primary_symbol
CDH2	member	P19022	primary	CDH2
CDIPT	member	O14735	primary	CDIPT
CDK16	member	Q00536	primary	CDK16
CDK17	member	Q00537	primary	CDK17
CDK5RAP3	member	Q96JB5	primary	CDK5RAP3
CDNF	member	Q49AH0	primary	CDNF
CDS2	ambiguous	O75420;O95674		
CDSN	member	Q15517	primary	CDSN
CDV3	member	Q9UKY7	primary	CDV3
CEBPZ	member	Q03701	primary	CEBPZ
CECR5	member	Q9BXW7	synonym	HDHD5
CELF1	member	Q92879	primary	CELF1
CELF2	member	O95319	primary	CELF2
CEND1	member	Q8N111	primary	CEND1
CENPV	member	Q7Z7K6	primary	CENPV
CEP152	member	O94986	primary	CEP152
CEP170	member	Q5SW79	primary	CEP170
CEP290	member	O15078	primary	CEP290
CEP41	member	Q9BYV8	primary	CEP41
CERS2	member	Q96G23	primary	CERS2
CES1	ambiguous	P02795;P23141		
CES2	ambiguous	O00748;P23141		
CFAP20	member	Q9Y6A4	primary	CFAP20
CFB	member	P00751	primary	CFB
CFH	member	P08603	primary	CFH
CFL1	member	P23528	primary	CFL1
CFL2	in_tier1	Q9Y281	primary	CFL2
CGI-87	unmapped			
CGNL1	member	Q0VF96	primary	CGNL1
CHCHD1	member	Q96BP2	primary	CHCHD1
CHCHD2	member	Q9Y6H1	primary	CHCHD2
CHCHD2P9	member	Q5T1J5	primary	CHCHD2P9
CHCHD3	member	Q9NX63	primary	CHCHD3
CHCHD4	member	Q8N4Q1	primary	CHCHD4
CHCHD6	member	Q9BRQ6	primary	CHCHD6
CHCHD7	member	Q9BUK0	primary	CHCHD7
CHD2	member	O14647	primary	CHD2
CHD4	member	Q14839	primary	CHD4
CHDH	member	Q8NE62	primary	CHDH
CHERP	member	Q8IWX8	primary	CHERP
CHID1	member	Q9BWS9	primary	CHID1
CHMP1B	member	Q7LBR1	primary	CHMP1B
CHMP2A	member	O43633	primary	CHMP2A
CHMP4A	member	Q9BY43	primary	CHMP4A
CHMP4B	member	Q9H444	primary	CHMP4B
CHMP6	member	Q96FZ7	primary	CHMP6
CHP1	ambiguous	Q99653;Q9UHD1		
CHURC1-FNTB	unmapped			
CIAPIN1	member	Q6FI81	primary	CIAPIN1
CILP	member	O75339	primary	CILP
CIRBP	member	Q14011	primary	CIRBP
CISD1	member	Q9NZ45	primary	CISD1
CISD2	member	Q8N5K1	primary	CISD2
CKAP4	member	Q07065	primary	CKAP4
CKAP5	member	Q14008	primary	CKAP5
CKB	member	P12277	primary	CKB
