accession	tier	subtree_annotations	evidence_codes
O15260	erythrocytes		
O15269	erythrocytes		
O15270	erythrocytes		
O15371	erythrocytes		
O15400	erythrocytes		
O15431	erythrocytes		
O15439	erythrocytes		
O15440	erythrocytes		
O15484	erythrocytes		
O15498	erythrocytes		
O15511	erythrocytes		
O15523	erythrocytes		
O15554	erythrocytes		
O43143	erythrocytes		
O43149	erythrocytes		
O43169	erythrocytes		
O43187	erythrocytes		
O43196	erythrocytes		
O43236	erythrocytes		
O43242	erythrocytes		
O43264	erythrocytes		
O43314	erythrocytes		
O43396	erythrocytes		
O43399	erythrocytes		
O43414	erythrocytes		
O43426	erythrocytes		
O43427	erythrocytes		
O43447	erythrocytes		
O43488	erythrocytes		
O43491	erythrocytes		
O43504	erythrocytes		
O43505	erythrocytes		
O43583	erythrocytes		
O43592	erythrocytes		
O43598	erythrocytes		
O43617	erythrocytes		
O43633	erythrocytes		
O43665	erythrocytes		
O43670	erythrocytes		
O43681	erythrocytes		
O43707	erythrocytes		
O43747	erythrocytes		
O43752	erythrocytes		
O43759	erythrocytes		
O43760	erythrocytes		
O43765	erythrocytes		
O43791	erythrocytes		
O43795	erythrocytes		
O43813	erythrocytes		
O43826	erythrocytes		
O43847	erythrocytes		
O43852	erythrocytes		
O43866	plasma		
O60229	erythrocytes		
O60232	erythrocytes		
O60234	erythrocytes		
O60256	erythrocytes		
O60262	erythrocytes		
O60271	erythrocytes		
O60282	erythrocytes		
O60318	erythrocytes		
O60331	erythrocytes		
O60341	erythrocytes		
O60488	erythrocytes		
O60499	erythrocytes		
O60506	erythrocytes		
O60547	erythrocytes		
O60568	erythrocytes		
O60610	erythrocytes		
O60645	erythrocytes		
O60664	erythrocytes		
O60669	erythrocytes		
O60684	erythrocytes		
O60749	erythrocytes		
O60762	erythrocytes		
O60763	erythrocytes		
O60784	erythrocytes		
O60831	erythrocytes		
O60884	erythrocytes		
O60888	erythrocytes		
O60925	erythrocytes		
O75044	erythrocytes		
O75063	erythrocytes		
O75064	erythrocytes		
O75069	erythrocytes		
O75083	erythrocytes		
O75093	erythrocytes		
O75116	erythrocytes		
O75122	erythrocytes		
O75131	erythrocytes		
O75157	erythrocytes		
O75165	erythrocytes		
O75170	erythrocytes		
O75190	erythrocytes		
O75223	erythrocytes		
O75264	erythrocytes		
O75317	erythrocytes		
O75326	erythrocytes		
O75340	erythrocytes		
O75347	erythrocytes		
O75348	erythrocytes		
O75352	erythrocytes		
O75368	erythrocytes		
O75373	erythrocytes		
O75376	erythrocytes		
O75387	erythrocytes		
O75396	erythrocytes		
O75477	erythrocytes		
O75531	erythrocytes		
O75558	erythrocytes		
O75629	erythrocytes		
O75636	plasma		
O75663	erythrocytes		
O75695	erythrocytes		
O75716	erythrocytes		
O75821	erythrocytes		
O75822	erythrocytes		
O75828	erythrocytes		
O75832	erythrocytes		
O75844	erythrocytes		
O75874	erythrocytes		
O75882	plasma		
O75907	erythrocytes		
O75915	erythrocytes		
O75935	erythrocytes		
O75955	erythrocytes		
O75964	erythrocytes		
O76003	erythrocytes		
O76054	erythrocytes		
O76071	erythrocytes		
O76094	erythrocytes		
O94766	erythrocytes		
O94804	erythrocytes		
O94829	erythrocytes		
O94832	erythrocytes		
O94885	erythrocytes		
O94889	erythrocytes		
O94903	erythrocytes		
O94905	erythrocytes		
O94915	erythrocytes		
O94919	erythrocytes		
O94966	erythrocytes		
O94973	erythrocytes		
O94979	erythrocytes		
O95070	erythrocytes		
O95081	erythrocytes		
O95147	erythrocytes		
O95155	erythrocytes		
O95159	erythrocytes		
O95166	erythrocytes		
O95180	erythrocytes		
O95197	erythrocytes		
O95214	erythrocytes		
O95235	erythrocytes		
O95236	erythrocytes		
O95248	erythrocytes		
O95251	erythrocytes		
O95260	erythrocytes		
O95273	erythrocytes		
O95292	erythrocytes		
O95297	erythrocytes		
O95336	erythrocytes		
O95347	erythrocytes		
O95352	erythrocytes		
O95373	erythrocytes		
O95376	erythrocytes		
O95406	erythrocytes		
O95433	erythrocytes		
O95445	plasma		
O95456	erythrocytes		
O95476	erythrocytes		
O95487	erythrocytes		
O95497	plasma		
O95562	erythrocytes		
O95573	erythrocytes		
O95671	erythrocytes		
O95674	erythrocytes		
