row_index	identity_cell	gene_cell	entry	entry_token_rank	outcome	tokens_checked	published_share_percent
2365	Q9NYL9;H0YKU1;H0YNJ8	TMOD3	Q9NYL9	1	member	1:Q9NYL9:reviewed_human	0.000490
2366	Q6ZT21;Q6ZT21-2	TMPPE	Q6ZT21	1	member	1:Q6ZT21:reviewed_human	0.000111
2367	Q8IUR5-3;Q8IUR5-2;F8VXU8;F8VTQ9	TMTC1	Q8IUR5	1	member	1:Q8IUR5:reviewed_human	0.000000
2368	Q9H3N1;G3V448	TMX1	Q9H3N1	1	member	1:Q9H3N1:reviewed_human	0.015215
2369	Q9Y320;Q9Y320-2;E9PSF0;E9PRL5;H3BSU7;E9PLR1;G3V155	TMX2;TMX2-CTNND1	Q9Y320	1	member	1:Q9Y320:reviewed_human	0.000000
2370	Q96JJ7;B4DIE3;Q96JJ7-2	TMX3	Q96JJ7	1	member	1:Q96JJ7:reviewed_human	0.000000
2371	Q9H1E5;E9PIN7	TMX4	Q9H1E5	1	member	1:Q9H1E5:reviewed_human	0.000280
2372	Q92973;Q92973-2;Q92973-3;S4R398;E7EW37;K7ENW1;K7ESC1;K7ESG1;K7ELC3	TNPO1	Q92973	1	member	1:Q92973:reviewed_human	0.001443
2373	O14787-2;O14787;A0A075B780	TNPO2	O14787	1	member	1:O14787:reviewed_human	0.000019
2374	Q9Y5L0;Q9Y5L0-3;E9PFH4;C9J7E5;Q9Y5L0-1;Q9Y5L0-5	TNPO3	Q9Y5L0	1	member	1:Q9Y5L0:reviewed_human	0.001307
2375	H0Y4U1;A0A087WWW7;E9PGF5;Q9HBL0;E9PF55;Q68CZ2;Q68CZ2-2;Q63HR2;F8VV64;Q63HR2-5;Q63HR2-2;Q63HR2-6;Q63HR2-4	TNS1	Q9HBL0	4	member_via_later_token	1:H0Y4U1:unreviewed/9606; 2:A0A087WWW7:?/?; 3:E9PGF5:unreviewed/9606; 4:Q9HBL0:reviewed_human	0.002628
2376	Q9H0E2;E9PNS3;F2Z2Y8	TOLLIP	Q9H0E2	1	member	1:Q9H0E2:reviewed_human	0.000000
2377	O60784;O60784-3;O60784-2;B0QY01;O60784-4;F8WB30;F8WAW7;F8WE29;F8WBB0;H7BYN7;Q6UW50	TOM1	O60784	1	member	1:O60784:reviewed_human	0.000058
2378	O14656;O14656-2	TOR1A	O14656	1	member	1:O14656:reviewed_human	0.000172
2379	Q5JU69	TOR2A	Q5JU69	1	member	1:Q5JU69:reviewed_human	0.000010
2380	Q53FA7;Q53FA7-2;H7BZH6	TP53I3	Q53FA7	1	member	1:Q53FA7:reviewed_human	0.001479
2381	O43399;A0A087WYR3;O43399-5;O43399-7;O43399-2;O43399-3;O43399-4;O43399-6;A0A087WZ51	TPD52L2	O43399	1	member	1:O43399:reviewed_human	0.000072
2382	P60174;P60174-1;P60174-4;U3KPZ0;U3KQF3;U3KPS5	TPI1	P60174	1	member	1:P60174:reviewed_human	0.176985
2383	H0YK48;P09493-5;P09493;P09493-6	TPM1	P09493	2	member_via_later_token	1:H0YK48:unreviewed/9606; 2:P09493:reviewed_human	0.000000
2384	H7BYY1;F5H7S3;B7Z596;P09493-3;P09493-2;P09493-8;H0YKX5;H0YL42;H0YL80;H0YK20;H0YKP3;H0YN06	TPM1	P09493	4	member_duplicate_entry	1:H7BYY1:unreviewed/9606; 2:F5H7S3:unreviewed/9606; 3:B7Z596:unreviewed/9606; 4:P09493:reviewed_human	0.064842
2385	P09493-10;P09493-4;H0YKJ4	TPM1	P09493	1	member_duplicate_entry	1:P09493:reviewed_human	0.000013
2386	P07951;CON__Q3SX28;P07951-2;Q5TCU3;Q5TCU8;P07951-3;U3KQK2	TPM2	P07951	1	member	1:P07951:reviewed_human	0.003415
2387	J3KN67	TPM3	P06753	gene	member_via_gene	1:J3KN67:unreviewed/9606; gene:TPM3:P06753	0.000049
2388	P06753-2;A0A087WWU8;Q5HYB6;Q5VU61	TPM3;DKFZp686J1372	P06753	1	member_duplicate_entry	1:P06753:reviewed_human	0.133272
2389	K7EQW8	TPM4	P67936	gene	member_via_gene	1:K7EQW8:?/?; gene:TPM4:P67936	0.000000
2390	P67936-2;P67936;K7ENT6;K7ERG3;K7EP68;K7EMU5;K7EPV9;K7EPB9	TPM4	P67936	1	member_duplicate_entry	1:P67936:reviewed_human	0.000000
2391	P29144	TPP2	P29144	1	member	1:P29144:reviewed_human	0.035878
2392	Q5VZU9	TPP2	P29144	gene	member_duplicate_entry	1:Q5VZU9:unreviewed/9606; gene:TPP2:P29144	0.000000
2393	P12270;P12270-2	TPR	P12270	1	member	1:P12270:reviewed_human	0.000000
2394	Q5T0D9;Q5T0D9-2	TPRG1L	Q5T0D9	1	member	1:Q5T0D9:reviewed_human	0.000079
2395	P13693;J3KPG2;Q5W0H4;A0A0B4J2C3;E9PJF7;P13693-2;Q56UQ5;Q9HAU6;H0YCX0	TPT1	P13693	1	member	1:P13693:reviewed_human	0.000872
2396	Q12933;Q12933-4;Q12933-3;Q12933-2;B1AMY1;B1AMX7;B1AMX8	TRAF2	Q12933	1	member	1:Q12933:reviewed_human	0.000026
2397	Q9Y5R8	TRAPPC1	Q9Y5R8	1	member	1:Q9Y5R8:reviewed_human	0.000018
2398	Q8WVT3;H7C373;H7C1E5;H7C0T3;A0A0G2JQW1;Q53QD4	TRAPPC12;CGI-87	Q8WVT3	1	member	1:Q8WVT3:reviewed_human	0.000000
2399	O43617;A0A087WWM0;O43617-2;A0A087WYS5;A6NKE1	TRAPPC3	O43617	1	member	1:O43617:reviewed_human	0.002311
2400	Q8IUR0;M0QZQ8	TRAPPC5	Q8IUR0	1	member	1:Q8IUR0:reviewed_human	0.000000
2401	Q9Y2L5;J3QQJ5;Q9Y2L5-2;J3QQS5;J3QSA1;J3KSL8	TRAPPC8	Q9Y2L5	1	member	1:Q9Y2L5:reviewed_human	0.000000
2402	A0A075B6Q9;A0A075B6R6;A0A087WXY0;A0A087WUA9;A0A087WWX3;A0A087WVM0;A0A087WZX1;P0CF51;P03986	TRGC1;TRGC2	P0CF51	8	member_via_later_token	1:A0A075B6Q9:?/?; 2:A0A075B6R6:?/?; 3:A0A087WXY0:?/?; 4:A0A087WUA9:?/?; 5:A0A087WWX3:?/?; 6:A0A087WVM0:?/?; 7:A0A087WZX1:?/?; 8:P0CF51:reviewed_human	0.000000
2403	Q9UDY6;Q9UDY6-2	TRIM10	Q9UDY6	1	member	1:Q9UDY6:reviewed_human	0.000006
2404	P19474;P19474-2;H0YDP8	TRIM21	P19474	1	member	1:P19474:reviewed_human	0.000097
2405	Q14258	TRIM25	Q14258	1	member	1:Q14258:reviewed_human	0.002938
2406	Q5T2K3;Q9H8W5;S4R407;Q9H8W5-2	TRIM45	Q9H8W5	2	member_via_later_token	1:Q5T2K3:unreviewed/9606; 2:Q9H8W5:reviewed_human	0.002466
2407	Q9BRZ2	TRIM56	Q9BRZ2	1	member	1:Q9BRZ2:reviewed_human	0.000000
2408	Q8NG06	TRIM58	Q8NG06	1	member	1:Q8NG06:reviewed_human	0.000098
2409	P10155;P10155-5;P10155-3;P10155-4;G5E9R9;P10155-2	TROVE2	P10155	1	member	1:P10155:reviewed_human	0.000000
2410	Q9Y5S1;H7BZK2;K7EPY7;K7EKG5	TRPV2	Q9Y5S1	1	member	1:Q9Y5S1:reviewed_human	0.000351
2411	O75157;O75157-2	TSC22D2	O75157	1	member	1:O75157:reviewed_human	0.000000
2412	Q9Y3Q8;Q9Y3Q8-2;H7BZ77;Q15714;Q99576;Q99576-3;Q15714-2;Q5JRJ0;E7EWD5;H0Y865;Q99576-4;Q15714-3	TSC22D4	Q9Y3Q8	1	member	1:Q9Y3Q8:reviewed_human	0.001720
2413	Q99816;F5H442;Q99816-2;J3QKS4;J3QRU6	TSG101	Q99816	1	member	1:Q99816:reviewed_human	0.000581
2414	Q15631;E9PGT1;H7C1D4;Q15631-2	TSN	Q15631	1	member	1:Q15631:reviewed_human	0.019545
2415	Q99598;C4P0D6;C4P0D8;Q5VVQ1;C4P0D4;Q9NRI2	TSNAX;DISC1	Q99598	1	member	1:Q99598:reviewed_human	0.002395
2416	B1AH87;P30536	TSPO	P30536	2	member_via_later_token	1:B1AH87:unreviewed/9606; 2:P30536:reviewed_human	0.000166
2417	Q9H489	TSPY26P	Q9H489	1	member	1:Q9H489:reviewed_human	0.000000
2418	H0YE90	TSTA3	Q13630	gene	member_via_gene	1:H0YE90:unreviewed/9606; gene:TSTA3:Q13630	0.000650
2419	Q13630;E9PKL9;E9PP14;E9PLH9;H0YCP7;E9PP60	TSTA3	Q13630	1	member_duplicate_entry	1:Q13630:reviewed_human	0.051735
2420	Q8NFU3;Q8NFU3-4;R4GNF9;Q8NFU3-2;Q8NFU3-3	TSTD1	Q8NFU3	1	member	1:Q8NFU3:reviewed_human	0.000805
2421	Q5TCY1-2;X6R456	TTBK1	Q5TCY1	1	member	1:Q5TCY1:reviewed_human	0.000000
2422	Q96AY4;A0A087WW06	TTC28	Q96AY4	1	member	1:Q96AY4:reviewed_human	0.000000
2423	Q6PGP7;D6RCE2;D6RDA0;H0Y964	TTC37	Q6PGP7	1	member	1:Q6PGP7:reviewed_human	0.000479
2424	Q5R3I4;H7C089	TTC38	Q5R3I4	1	member	1:Q5R3I4:reviewed_human	0.001440
2425	Q9ULT0;G5E9G4;Q9ULT0-4;H7C1P2	TTC7A	Q9ULT0	1	member	1:Q9ULT0:reviewed_human	0.000015
